years-month;bugs fixed;Media;Dev standard;Upper Limit;LowerLimit;;;;;;;;;;;;;;;;
01/05/2012;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2012;4;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2012;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2012;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2012;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2012;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2012;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2012;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2013;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2013;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2013;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2013;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2013;8;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2013;15;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2013;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2013;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2013;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2013;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2013;7;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2013;12;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2014;8;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2014;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2014;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2014;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2014;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2014;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2014;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2014;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2014;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2014;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2014;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2014;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2015;6;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2015;13;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2015;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2015;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2015;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2016;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2016;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2016;9;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2016;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2016;5;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2016;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2016;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2016;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2016;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2016;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2016;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2016;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2017;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2017;6;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2017;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2017;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2017;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2017;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2017;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2017;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2017;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2017;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2017;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2017;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2018;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2019;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2019;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2020;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
